"date","close","volume","open","high","low"

"2016/09/16","125.0600","18978550.0000","124.8100","125.2450","124.6700"
"2016/09/15","125.3700","12898690.0000","125.7300","126.1000","124.9100"
"2016/09/14","126.1800","5812239.0000","126.1000","126.5400","126.0300"
"2016/09/13","125.7500","8838657.0000","126.4700","126.6000","125.5300"
"2016/09/12","126.5900","11139830.0000","126.3100","126.9200","125.9700"
"2016/09/09","126.7500","12457750.0000","127.2400","127.5100","126.7000"
"2016/09/08","127.5900","10536710.0000","128.1600","128.5200","127.4000"
"2016/09/07","128.2700","8855215.0000","128.7900","128.8600","128.1200"
"2016/09/06","128.7100","15088210.0000","127.4000","129.0800","127.2700"
"2016/09/02","126.5700","11314110.0000","126.2900","126.5700","125.5800"
"2016/09/01","125.2900","12866840.0000","124.6700","125.5100","124.5500"
"2016/08/31","124.7800","13309350.0000","124.7300","125.1100","124.6400"
"2016/08/30","125.0300","9856590.0000","125.7300","125.9500","124.8800"
"2016/08/29","126.3000","5553964.0000","126.0000","126.4800","125.9300"
"2016/08/26","126.0500","17964040.0000","126.8800","128.1100","125.8200"
"2016/08/25","126.2300","5924725.0000","125.9800","126.3100","125.9600"
"2016/08/24","126.3400","13511770.0000","126.9200","126.9663","126.2950"
"2016/08/23","127.7600","9036224.0000","128.1400","128.2200","127.6100"
"2016/08/22","127.7800","8626084.0000","127.6300","127.9200","127.4500"
"2016/08/19","127.9700","10893230.0000","128.0800","128.6700","127.8550"
"2016/08/18","129.1100","9496736.0000","128.8900","129.1700","128.5800"
"2016/08/17","128.5000","12031670.0000","128.1700","128.9900","127.4600"
"2016/08/16","128.4700","8646321.0000","128.1200","129.0400","128.0000"
"2016/08/15","127.8400","4522713.0000","127.6200","128.2500","127.6000"
"2016/08/12","127.4000","15394250.0000","129.1200","129.2600","127.2000"
"2016/08/11","127.6700","9755894.0000","128.6100","129.1900","127.4750"
"2016/08/10","128.5600","6190625.0000","129.1200","129.2006","128.1500"
"2016/08/09","127.9600","7493439.0000","127.9400","128.1400","127.7500"
"2016/08/08","127.4400","6773290.0000","127.2900","127.7000","127.2740"
"2016/08/05","127.5500","16204440.0000","128.4600","128.5466","127.3900"
"2016/08/04","129.8700","4899009.0000","130.0100","130.2800","129.8200"
"2016/08/03","129.6500","5007903.0000","129.9500","129.9600","129.2700"
"2016/08/02","130.2700","7648293.0000","130.0400","130.5500","129.9449"
"2016/08/01","129.2200","7108384.0000","128.5700","129.3400","128.5600"
"2016/07/29","128.9800","13706480.0000","128.4200","129.4100","127.8800"
"2016/07/28","127.6600","9252757.0000","128.0900","128.2000","127.2050"
"2016/07/27","128.0300","17053520.0000","126.7900","128.1200","126.0400"
"2016/07/26","126.0000","7610957.0000","126.0900","126.1400","125.7450"
"2016/07/25","125.4700","13137820.0000","125.5300","126.2100","125.1100"
"2016/07/22","126.3500","7715126.0000","126.4300","126.5200","126.0100"
"2016/07/21","127.3000","9390174.0000","125.6600","127.3700","125.6000"
"2016/07/20","125.3900","11736900.0000","125.5000","126.1200","125.3100"
"2016/07/19","127.2100","5167693.0000","126.9500","127.3500","126.8200"
"2016/07/18","127.0400","8475927.0000","127.0200","127.5000","126.6300"
"2016/07/15","126.8400","13412790.0000","126.3800","127.1900","126.3300"
"2016/07/14","127.3300","12126110.0000","126.3100","127.3700","126.0300"
"2016/07/13","128.3200","7374852.0000","128.0000","128.4300","127.6100"
"2016/07/12","127.1500","26447860.0000","128.5200","128.5400","126.9900"
"2016/07/11","129.2900","10817410.0000","129.4900","129.8950","129.1600"
"2016/07/08","130.5200","17633070.0000","129.8500","130.5200","128.9700"
"2016/07/07","129.7400","16504530.0000","129.8200","130.1200","128.9800"
"2016/07/06","130.2300","17374350.0000","130.5000","131.1500","129.8200"
"2016/07/05","129.4700","18951210.0000","128.8000","129.5900","128.1700"
"2016/07/01","128.4100","14938400.0000","127.6600","128.4200","127.4400"
"2016/06/30","126.4700","15965340.0000","125.9500","126.5200","125.5000"
"2016/06/29","125.8400","12211890.0000","125.9100","126.8100","125.7000"
"2016/06/28","125.3200","15996100.0000","125.5600","126.0200","125.0600"
"2016/06/27","126.6800","21390330.0000","126.4400","127.0500","125.8300"
"2016/06/24","126.0100","35766450.0000","126.6200","126.8200","125.0000"
"2016/06/23","120.1100","10680970.0000","120.4800","121.0300","120.0600"
"2016/06/22","120.9000","7856920.0000","120.8300","121.2500","120.6800"
"2016/06/21","120.8400","14581050.0000","121.6500","121.8600","120.7700"
"2016/06/20","123.2100","11859300.0000","122.2600","123.3300","122.1300"
"2016/06/17","123.9500","15566950.0000","123.2600","124.1000","122.6900"
"2016/06/16","122.3800","26618580.0000","125.1700","125.6700","122.2300"
