"date","close","volume","open","high","low"

"2016/09/16","18.2100","25722740.0000","17.9700","18.9800","17.3700"
"2016/09/15","18.7500","24860970.0000","18.2300","19.6500","17.5000"
"2016/09/14","18.3800","24476770.0000","18.9800","19.7200","18.0500"
"2016/09/13","18.4600","29326120.0000","20.0000","20.1400","17.6100"
"2016/09/12","20.7000","34199490.0000","18.3500","21.2100","18.1200"
"2016/09/09","19.3300","33209300.0000","22.0000","22.0500","18.9300"
"2016/09/08","23.0700","21200950.0000","24.1950","24.8800","22.5100"
"2016/09/07","24.6600","19910210.0000","24.8300","24.9700","22.6800"
"2016/09/06","25.0300","29808520.0000","23.1800","25.0600","22.6200"
"2016/09/02","21.8100","30617990.0000","21.6200","22.1200","20.6300"
"2016/09/01","19.7600","34920370.0000","17.5200","19.8700","17.1500"
"2016/08/31","17.7900","27436780.0000","18.1200","18.6300","17.5200"
"2016/08/30","18.7600","32729340.0000","21.3400","21.6200","18.1700"
"2016/08/29","21.9200","15349130.0000","21.1500","22.6400","20.7500"
"2016/08/26","21.8800","37596850.0000","23.5500","24.8700","21.0000"
"2016/08/25","22.1300","24623480.0000","21.3800","23.4800","20.5700"
"2016/08/24","21.3320","52077450.0000","25.9860","26.0740","21.0500"
"2016/08/23","27.1520","18077560.0000","29.1600","29.2780","27.0020"
"2016/08/22","28.3880","18600495.0000","28.5520","28.7760","27.8980"
"2016/08/19","29.8540","17501505.0000","30.4420","31.0484","29.5680"
"2016/08/18","32.3420","14449935.0000","32.0200","32.4882","31.0550"
"2016/08/17","31.2000","34511545.0000","31.6620","31.9940","29.0220"
"2016/08/16","32.5960","16895150.0000","32.9760","33.5000","32.1000"
"2016/08/15","32.7800","13278020.0000","33.5780","34.1760","32.4240"
"2016/08/12","33.3960","21494445.0000","35.6640","35.7600","33.0000"
"2016/08/11","33.5040","18852910.0000","34.3020","35.7956","33.2040"
"2016/08/10","34.1740","19635690.0000","34.9940","35.4500","33.1760"
"2016/08/09","32.5540","14311605.0000","32.4080","33.0900","32.0052"
"2016/08/08","31.6620","13393675.0000","30.8000","32.6520","30.6600"
"2016/08/05","30.8940","21429265.0000","31.3540","31.7000","30.3600"
"2016/08/04","34.1380","14283010.0000","33.8600","34.8600","33.7700"
"2016/08/03","33.2980","17273790.0000","33.7920","33.8680","32.4319"
"2016/08/02","34.4700","21791480.0000","34.5820","35.5200","34.0640"
"2016/08/01","33.2860","24982585.0000","31.7540","33.6000","31.1520"
"2016/07/29","32.1020","29824665.0000","31.2060","32.6800","30.4460"
"2016/07/28","29.6820","24047810.0000","30.1900","30.6720","28.1140"
"2016/07/27","29.7680","36182440.0000","27.4920","30.2900","25.4960"
"2016/07/26","26.2040","18295235.0000","25.4260","26.8000","24.9020"
"2016/07/25","24.3480","26294290.0000","25.9940","25.9940","23.4200"
"2016/07/22","27.2260","14688615.0000","26.3000","27.6760","26.3000"
"2016/07/21","27.4100","22468260.0000","25.9840","27.8698","25.4280"
"2016/07/20","25.0520","31094735.0000","28.1000","28.1540","24.5504"
"2016/07/19","30.3700","15541860.0000","30.8040","31.2700","30.1940"
"2016/07/18","31.3920","19002850.0000","31.1580","31.4200","30.0340"
"2016/07/15","30.9560","17942820.0000","30.3120","31.7780","30.3120"
"2016/07/14","32.0180","28329540.0000","29.8320","32.1100","29.2440"
"2016/07/13","32.4840","23762025.0000","31.6320","33.2720","30.9280"
"2016/07/12","29.7240","26989130.0000","32.5000","33.1000","29.6000"
"2016/07/11","33.5840","22927920.0000","32.3020","33.9640","32.0200"
"2016/07/08","33.3360","27019020.0000","30.6180","33.7791","29.9520"
"2016/07/07","30.4880","27700190.0000","32.1660","32.2800","29.8120"
"2016/07/06","33.5420","34452850.0000","32.1420","33.9660","31.7760"
"2016/07/05","30.7560","28763365.0000","30.2820","31.1000","28.4060"
"2016/07/01","28.8920","27877550.0000","27.4520","29.4200","27.3000"
"2016/06/30","25.2240","23226705.0000","24.6500","25.4430","23.9006"
"2016/06/29","23.8960","28445880.0000","23.5820","25.0000","23.3320"
"2016/06/28","22.5300","25226890.0000","22.6560","23.5200","22.1700"
"2016/06/27","23.6340","32681105.0000","23.4380","24.5600","22.0700"
"2016/06/24","22.8020","41544605.0000","24.9760","25.0800","22.0040"
"2016/06/23","19.3960","19319375.0000","19.4420","20.4300","19.1620"
"2016/06/22","19.9880","28179060.0000","18.9860","20.0280","18.4680"
"2016/06/21","18.7460","28172015.0000","19.1840","19.7700","18.7440"
"2016/06/20","20.4540","26440285.0000","18.9200","20.8580","18.7100"
"2016/06/17","20.8200","33841210.0000","21.1720","21.3720","19.6000"
"2016/06/16","20.1480","49832690.0000","23.9580","23.9840","19.9360"
